Loan.number,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
43203,24000,23947.48,0.1903,60 months,debt_consolidation,0.0363,CA,RENT,7500,695-699,6,8568,1,10+ years
48319,7500,7500,0.0890,36 months,debt_consolidation,0.1002,DE,RENT,5500,715-719,9,2382,0,6 years
5367,17000,16875,0.1183,36 months,debt_consolidation,0.1270,GA,RENT,4583.33,735-739,5,3644,1,6 years
83768,12000,12000,0.1727,36 months,credit_card,0.1486,NJ,OWN,4583.33,665-669,12,9145,1,10+ years
88084,6000,6000,0.1531,36 months,other,0.1591,MN,RENT,3833.33,670-674,11,5760,1,10+ years
101540,6725,825,0.1312,36 months,debt_consolidation,0.1316,MO,MORTGAGE,5000,670-674,10,5513,9,10+ years
9664,4500,4500,0.0676,36 months,debt_consolidation,0.1474,WV,MORTGAGE,2666.67,790-794,7,2705,0,7 years
1494,1600,1600,0.1083,36 months,other,0.0536,RI,RENT,2427,700-704,5,7020,0,3 years
61703,10000,10000,0.1777,36 months,wedding,0.3040,NY,OWN,2500,665-669,5,8379,0,8 years
61576,18550,18525,0.0790,36 months,debt_consolidation,0.1693,GA,MORTGAGE,5416.67,725-729,10,28877,0,3 years
21993,7450,7450,0.1306,36 months,debt_consolidation,0.0330,WA,MORTGAGE,5883.33,710-714,2,6416,1,10+ years
58359,3225,3225,0.0762,36 months,debt_consolidation,0.1779,CA,MORTGAGE,5833.33,760-764,5,70323,1,10+ years
67335,23675,23675,0.1777,36 months,credit_card,0.2994,PA,OWN,6399,680-684,21,21920,0,10+ years
57080,12000,12000,0.1212,36 months,debt_consolidation,0.1862,VA,RENT,5833.33,690-694,16,18838,0,10+ years
30035,25000,25000,0.1649,36 months,debt_consolidation,0.1818,MA,RENT,6000,695-699,9,10630,2,7 years
103948,16000,15850,0.1112,36 months,credit_card,0.1786,CA,MORTGAGE,6666.67,725-729,7,18659,4,5 years
96659,4200,4175,0.0890,36 months,car,0.1016,NC,MORTGAGE,3041.67,810-814,4,1548,0,10+ years
67158,10000,10000,0.1409,36 months,debt_consolidation,0.2145,CO,RENT,4583.33,675-679,11,8548,0,6 years
33777,6000,6000,0.0751,36 months,home_improvement,0.0252,NJ,MORTGAGE,4800,750-754,4,1442,0,10+ years
59724,6000,6000,0.1311,36 months,debt_consolidation,0.1533,KS,RENT,3333.33,685-689,7,12503,2,2 years
95096,7925,7925,0.1629,36 months,debt_consolidation,0.2125,GA,RENT,2000,665-669,6,7840,0,6 years
67629,16000,15925,0.0762,36 months,debt_consolidation,0.0648,IL,MORTGAGE,6000,765-769,8,19539,0,n/a
51929,9525,9500,0.1581,36 months,small_business,0.1135,CA,RENT,2666.67,670-674,15,5610,1,n/a
13216,6000,6000,0.1435,36 months,debt_consolidation,0.1408,IL,MORTGAGE,2500,675-679,9,3621,3,< 1 year
103405,10000,9975,0.1496,36 months,debt_consolidation,0.1150,FL,MORTGAGE,5250,675-679,4,3035,5,2 years
53271,7000,7000,0.0662,36 months,major_purchase,0.0803,NM,MORTGAGE,10000,750-754,9,6761,1,6 years
25380,4500,4500,0.0599,36 months,debt_consolidation,0.1848,CA,MORTGAGE,10000,765-769,18,17863,3,6 years
6987,12000,12000,0.1114,36 months,debt_consolidation,0.0237,MD,MORTGAGE,12500,735-739,13,10944,0,5 years
96413,10375,10375,0.1972,36 months,debt_consolidation,0.0499,CT,RENT,4166.67,665-669,9,6122,1,5 years
88273,4800,4800,0.1875,36 months,other,0.1089,NM,MORTGAGE,5833.33,670-674,8,17943,0,10+ years
48519,6400,6400,0.1311,36 months,credit_card,0.1146,LA,MORTGAGE,4666.67,700-704,7,8942,1,10+ years
69456,5000,5000,0.0790,36 months,debt_consolidation,0.1722,CA,OWN,4000,705-709,10,6023,0,10+ years
41198,12000,12000,0.0662,36 months,credit_card,0.2166,NC,RENT,5250,740-744,11,20639,0,< 1 year
44282,23850,23820.25,0.2148,60 months,other,0.1875,NY,MORTGAGE,4250,690-694,23,37251,0,4 years
34122,15000,15000,0.1065,36 months,small_business,0.1615,OH,MORTGAGE,7083.33,720-724,14,338,2,9 years
84563,8000,8000,0.0762,36 months,other,0.0000,NC,MORTGAGE,3500,765-769,7,0,1,n/a
98634,20000,20000,0.0603,36 months,credit_card,0.1867,FL,MORTGAGE,14583.33,715-719,9,29044,0,7 years
73526,20000,19975,0.1311,36 months,debt_consolidation,0.1509,NC,RENT,8233.33,710-714,17,29756,2,< 1 year
82476,10000,10000,0.1409,36 months,debt_consolidation,0.1059,CA,RENT,2916.67,690-694,9,10390,3,< 1 year
67263,18825,18825,0.1409,36 months,credit_card,0.1308,MI,RENT,4000,710-714,6,20694,1,4 years
41267,35000,34975,0.0790,36 months,small_business,0.0159,IL,RENT,18333.33,775-779,10,1992,0,1 year
64884,9000,9000,0.0603,36 months,vacation,0.0558,NJ,MORTGAGE,9583.33,815-819,11,675,0,n/a
18452,4000,4000,0.0617,36 months,home_improvement,0.1500,CT,RENT,4234,745-749,5,587,1,2 years
57866,5750,5750,0.1399,36 months,credit_card,0.1244,CA,RENT,5000,660-664,13,12465,0,10+ years
77151,20950,20950,0.1580,36 months,debt_consolidation,0.1571,MA,MORTGAGE,12916.67,690-694,8,30188,1,4 years
25405,8000,8000,0.1099,36 months,credit_card,0.1476,NY,RENT,7500,710-714,9,7120,2,< 1 year
85644,10000,10000,0.1016,36 months,debt_consolidation,0.0930,TX,MORTGAGE,3333.33,725-729,8,8940,2,n/a
85686,10000,10000,0.1409,36 months,small_business,0.1476,NY,RENT,5000,675-679,7,4762,0,4 years
54649,14000,14000,0.0603,36 months,credit_card,0.1953,CT,MORTGAGE,6000,765-769,13,4140,0,8 years
19069,5000,5000,0.0766,36 months,credit_card,0.0333,RI,RENT,9000,735-739,3,12297,0,10+ years
74479,25000,25000,0.1905,60 months,debt_consolidation,0.1053,IL,MORTGAGE,6250,700-704,8,15159,1,9 years
76693,35000,35000,0.0890,36 months,debt_consolidation,0.1462,CA,RENT,10416.67,735-739,9,21321,0,10+ years
63266,7200,7175,0.1114,36 months,debt_consolidation,0.2789,OK,MORTGAGE,3750,690-694,8,20342,0,10+ years
32008,14000,14000,0.0849,60 months,debt_consolidation,0.0989,CA,MORTGAGE,9000,760-764,17,23773,0,4 years
13996,15000,14975,0.1521,36 months,debt_consolidation,0.1910,TX,RENT,5132,680-684,4,34044,1,3 years
80638,25000,25000,0.1972,60 months,debt_consolidation,0.3210,NY,OWN,4916.67,695-699,21,35208,1,7 years
36889,10800,10800,0.1465,36 months,debt_consolidation,0.0789,CA,RENT,9583.33,675-679,6,6487,1,< 1 year
72169,20000,20000,0.1433,36 months,credit_card,0.2144,GA,MORTGAGE,6250,700-704,9,14268,1,9 years
19548,4000,4000,0.1074,36 months,debt_consolidation,0.0197,KS,RENT,2900,695-699,13,1869,1,n/a
103357,16000,15950,0.1570,36 months,debt_consolidation,0.2351,OH,MORTGAGE,9333.33,675-679,20,12721,5,10+ years
59117,1400,1400,0.0976,36 months,vacation,0.2714,NV,MORTGAGE,4683.33,730-734,6,6466,0,2 years
15427,7500,7500,0.1632,36 months,debt_consolidation,0.1254,CA,MORTGAGE,4600,665-669,3,6120,0,2 years
224,24625,917.28,0.1407,36 months,credit_card,0.1281,NY,MORTGAGE,10000,675-679,14,33698,0,8 years
85618,5000,5000,0.1409,36 months,debt_consolidation,0.2902,FL,MORTGAGE,5416.67,680-684,11,3977,1,< 1 year
43436,25000,24975,0.0991,36 months,debt_consolidation,0.2049,NY,RENT,7916.67,725-729,14,27203,0,1 year
19328,7500,7500,0.1640,36 months,debt_consolidation,0.1334,CA,RENT,4166.67,660-664,8,7430,0,< 1 year
65134,34500,34450,0.0662,36 months,small_business,0.1646,CA,MORTGAGE,10000,805-809,8,5317,0,9 years
20263,10000,10000,0.0579,36 months,debt_consolidation,0.0649,GA,MORTGAGE,12500,745-749,17,75629,0,1 year
9194,3200,3200,0.0988,36 months,debt_consolidation,0.0651,MA,RENT,4500,740-744,7,3198,0,5 years
27520,5500,5500,0.1599,60 months,debt_consolidation,0.1795,RI,RENT,4250,700-704,16,13256,0,10+ years
45941,3000,3000,0.0976,36 months,debt_consolidation,0.2182,VA,OWN,1100,720-724,4,2413,0,n/a
69242,18000,18000,0.2328,60 months,debt_consolidation,0.0905,WI,RENT,7083.33,660-664,6,13106,0,10+ years
2633,10000,9700,0.0963,36 months,debt_consolidation,0.1377,OK,MORTGAGE,4190,735-739,6,1251,1,< 1 year
48662,8800,8800,0.1311,36 months,credit_card,0.1673,WI,RENT,3150.25,700-704,13,14266,1,4 years
65775,7000,7000,0.1114,36 months,debt_consolidation,0.2302,TX,MORTGAGE,6000,705-709,17,19634,2,6 years
92773,8000,8000,0.1311,36 months,debt_consolidation,0.1901,AK,RENT,2625,725-729,8,7554,1,5 years
33161,3000,3000,0.1727,36 months,credit_card,0.1662,SC,RENT,3833.33,660-664,4,4136,0,n/a
37985,12000,11975,0.0751,36 months,debt_consolidation,0.1191,MD,RENT,7500,735-739,18,33702,1,10+ years
2791,3600,3575,0.1411,36 months,small_business,0.0004,WI,RENT,2500,725-729,4,1,0,3 years
81950,11625,11625,0.1433,36 months,debt_consolidation,0.2284,NY,MORTGAGE,2833.33,705-709,6,27411,2,8 years
84215,30000,30000,0.2149,36 months,credit_card,0.1670,MD,MORTGAGE,12500,670-674,14,19096,2,9 years
93352,16000,16000,0.0890,36 months,debt_consolidation,0.1971,CO,RENT,7083.33,720-724,11,6185,1,4 years
10474,10800,10700,0.1075,36 months,major_purchase,0.1532,FL,MORTGAGE,8400,715-719,6,24675,0,10+ years
15717,25000,23655.48,0.1669,60 months,debt_consolidation,0.1411,CO,MORTGAGE,7666.67,705-709,15,28748,3,8 years
103874,10000,10000,0.1398,60 months,other,0.1486,MO,RENT,3916.67,710-714,9,5188,4,4 years
132,12375,275,0.1091,36 months,small_business,0.1639,VA,MORTGAGE,3892.75,690-694,11,8332,2,3 years
5169,6000,6000,0.1148,36 months,credit_card,0.1820,NY,MORTGAGE,5031.67,705-709,9,50935,0,10+ years
29812,8000,8000,0.1349,36 months,debt_consolidation,0.1492,CO,RENT,5000,685-689,18,4786,1,2 years
56991,15000,15000,0.1825,36 months,credit_card,0.0973,GA,MORTGAGE,5000,660-664,11,14596,0,8 years
62537,7000,7000,0.1777,36 months,other,0.3225,NY,RENT,3333.33,665-669,12,35604,3,7 years
22858,8400,8400,0.0692,36 months,renewable_energy,0.1330,MD,RENT,3000,745-749,9,6998,1,1 year
78602,15000,15000,0.0790,36 months,debt_consolidation,0.1862,PA,MORTGAGE,4500,740-744,10,17212,0,7 years
93778,15000,14925,0.1433,36 months,debt_consolidation,0.1330,TX,RENT,5000,665-669,7,11368,1,< 1 year
87504,2800,2800,0.1016,36 months,major_purchase,0.1200,NY,RENT,2083.33,695-699,7,7261,0,< 1 year
92105,7750,7750,0.1629,36 months,debt_consolidation,0.2674,FL,MORTGAGE,2916.67,680-684,18,17102,0,5 years
59387,4500,4500,0.0890,36 months,credit_card,0.1818,UT,RENT,2166.67,700-704,8,5361,0,4 years
6067,17500,17375,0.1253,36 months,debt_consolidation,0.2163,CO,RENT,3666.67,715-719,7,20010,0,6 years
62445,18000,18000,0.1531,60 months,debt_consolidation,0.0493,CA,RENT,5258.5,710-714,6,11596,0,10+ years
35834,15000,14975,0.1527,60 months,debt_consolidation,0.1790,PA,MORTGAGE,2748,720-724,14,7956,1,6 years
24320,6000,6000,0.1523,36 months,credit_card,0.1957,KS,OWN,4583.33,665-669,13,8077,1,1 year
68821,11500,11475,0.1114,36 months,credit_card,0.2825,CA,RENT,2750,700-704,6,9079,0,5 years
96988,10000,10000,0.1311,36 months,credit_card,0.0756,PA,RENT,2500,685-689,8,10906,0,7 years
47002,12000,12000,0.0890,36 months,credit_card,0.1246,MD,RENT,5000,725-729,5,13940,0,10+ years
53897,10000,10000,0.1212,36 months,debt_consolidation,0.1840,CA,MORTGAGE,5000,685-689,7,13202,0,10+ years
40136,35000,34975,0.2128,60 months,debt_consolidation,0.1821,AL,RENT,7916.67,680-684,8,19789,2,10+ years
14952,7200,7100,0.1038,60 months,major_purchase,0.1797,PA,RENT,3000,750-754,7,2753,1,2 years
40856,4000,3975,0.0790,60 months,car,0.0448,TX,OWN,4000,800-804,16,6696,0,< 1 year
4938,5300,5200,0.1114,36 months,debt_consolidation,0.0847,UT,MORTGAGE,8333.33,740-744,5,73258,1,3 years
59272,1200,1200,0.0762,36 months,other,0.0869,NY,MORTGAGE,3833.33,730-734,14,350,1,7 years
80512,2500,2500,0.1114,36 months,major_purchase,0.1008,CA,RENT,4333.33,720-724,4,4922,0,3 years
82071,17000,16975,0.1433,36 months,debt_consolidation,0.2635,MN,OWN,7500,700-704,21,39130,3,10+ years
90748,16000,16000,0.0790,36 months,credit_card,0.1230,CA,MORTGAGE,8416.67,695-699,14,21913,1,5 years
42319,10000,9950,0.1269,36 months,debt_consolidation,0.0380,CA,MORTGAGE,6666.67,695-699,8,7967,1,3 years
81914,5000,5000,0.1016,36 months,debt_consolidation,0.2450,AL,MORTGAGE,6250,700-704,9,33705,0,6 years
97954,4375,4375,0.1905,36 months,credit_card,0.0909,CA,RENT,2916.67,670-674,9,6944,2,6 years
41074,8500,8475,0.0603,36 months,home_improvement,0.1233,MO,MORTGAGE,6100,745-749,17,6370,0,10+ years
30600,12000,12000,0.1689,60 months,small_business,0.1524,OH,MORTGAGE,7500,675-679,14,28589,2,3 years
4909,6200,6100,0.0859,36 months,other,0.1910,WI,RENT,5000,740-744,17,9367,0,1 year
63340,7000,7000,0.1849,36 months,debt_consolidation,0.1890,AR,MORTGAGE,2000,660-664,10,7315,2,1 year
35313,20800,20800,0.1269,60 months,debt_consolidation,0.0708,GA,MORTGAGE,6541.67,730-734,9,13197,0,1 year
45225,19200,19200,0.1311,60 months,other,0.0345,IL,MORTGAGE,8333.33,745-749,14,50625,3,2 years
98090,22000,22000,0.1580,60 months,debt_consolidation,0.2132,KY,MORTGAGE,5416.67,700-704,9,10267,1,10+ years
71142,15000,15000,0.1905,36 months,debt_consolidation,0.2488,AZ,RENT,6000,675-679,12,12162,0,1 year
5282,7000,6965.1,0.1947,36 months,debt_consolidation,0.1708,NJ,RENT,5000,665-669,11,13859,0,3 years
52333,20000,20000,0.0890,36 months,credit_card,0.1708,CO,RENT,4916.67,730-734,10,14952,2,4 years
15274,2000,2000,0.0617,36 months,moving,0.1835,WA,RENT,5733.58,745-749,9,21998,0,3 years
32037,18000,17738.58,0.1059,60 months,major_purchase,0.1503,OH,MORTGAGE,4000,755-759,9,6718,0,10+ years
6528,20800,20775,0.1148,36 months,home_improvement,0.2177,CA,OWN,11666.67,790-794,6,682,1,10+ years
10487,9000,8875,0.0788,36 months,debt_consolidation,0.1451,MA,MORTGAGE,5708.33,725-729,9,12217,0,7 years
64690,6000,6000,0.1409,36 months,credit_card,0.2250,UT,RENT,2666.67,670-674,18,5955,0,10+ years
66605,5000,5000,0.1580,36 months,debt_consolidation,0.3420,CA,RENT,3750,665-669,18,5414,3,3 years
18512,12000,11975,0.1483,60 months,credit_card,0.2231,CA,RENT,4186,685-689,9,9398,0,3 years
1173,7000,1998,0.0800,36 months,credit_card,0.0636,AZ,MORTGAGE,7583.33,750-754,9,21135,0,10+ years
22150,6000,5950,0.1000,36 months,major_purchase,0.0874,FL,MORTGAGE,15416.67,715-719,9,105730,1,10+ years
104008,17000,16975,0.1398,36 months,debt_consolidation,0.1765,TX,MORTGAGE,9166.67,700-704,14,16230,4,3 years
4665,12000,11975,0.0894,36 months,credit_card,0.1899,TX,RENT,4750,750-754,13,25577,1,4 years
43053,16350,16350,0.0790,36 months,credit_card,0.2503,MN,OWN,4541.67,730-734,7,25731,0,9 years
59192,20000,20000,0.0790,36 months,debt_consolidation,0.2004,TX,MORTGAGE,4625,755-759,14,31335,1,10+ years
80538,12300,12300,0.1212,36 months,debt_consolidation,0.1001,CA,RENT,6583.33,690-694,15,12450,0,1 year
78519,4800,4800,0.1311,36 months,moving,0.0461,TX,RENT,2666.67,690-694,3,7911,0,< 1 year
48236,14500,14500,0.0790,36 months,credit_card,0.1196,IL,RENT,4500,735-739,8,16398,0,6 years
51833,4200,4200,0.0890,36 months,debt_consolidation,0.1043,CA,MORTGAGE,2254,700-704,7,4490,0,n/a
69446,22250,22250,0.1409,36 months,credit_card,0.3210,MN,MORTGAGE,6583.33,690-694,18,44868,0,10+ years
18161,8000,8000,0.1409,36 months,home_improvement,0.0768,IL,RENT,25000,675-679,6,28579,1,8 years
78856,8325,8325,0.1777,36 months,debt_consolidation,0.2075,MO,RENT,2000,665-669,7,7676,0,< 1 year
48412,14000,14000,0.1311,36 months,debt_consolidation,0.0812,CA,OWN,10416.67,730-734,4,4776,0,7 years
60192,9000,9000,0.1016,36 months,debt_consolidation,0.0398,MD,MORTGAGE,6000,705-709,6,5659,0,7 years
97275,16000,16000,0.1311,36 months,credit_card,0.1761,GA,MORTGAGE,6083.33,680-684,13,15148,0,2 years
103218,15200,13694.22,0.1114,36 months,credit_card,0.1450,AZ,MORTGAGE,7916.67,760-764,7,217827,2,6 years
39722,24000,24000,0.1065,36 months,debt_consolidation,0.1480,CA,RENT,3750,725-729,5,24708,0,10+ years
54880,16450,16450,0.1531,36 months,debt_consolidation,0.1166,OH,MORTGAGE,6666.67,685-689,8,12697,3,9 years
81508,7500,7500,0.1212,36 months,home_improvement,0.2656,NH,MORTGAGE,5000,710-714,8,9047,1,10+ years
98671,4750,4750,0.2247,36 months,debt_consolidation,0.2445,UT,RENT,1333.33,665-669,9,4752,2,< 1 year
80765,6500,6500,0.0790,36 months,debt_consolidation,0.1256,AR,RENT,6750,720-724,17,33229,0,8 years
103835,5500,5450,0.1867,60 months,debt_consolidation,0.1771,NY,RENT,1750,660-664,6,4492,6,2 years
59041,9600,9600,0.0603,36 months,home_improvement,0.0752,AL,MORTGAGE,6250,750-754,7,765,0,< 1 year
62747,12000,11975,0.1212,36 months,major_purchase,0.3134,NY,OWN,4166.67,710-714,21,28703,2,3 years
34051,2000,2000,0.0751,36 months,other,0.1673,CA,RENT,1500,730-734,5,2925,0,4 years
99360,18000,18000,0.2489,60 months,moving,0.1488,VT,RENT,4000,665-669,10,7377,3,8 years
79126,5825,5825,0.1212,36 months,home_improvement,0.0400,AR,OWN,3750,690-694,4,5643,0,1 year
103249,2500,2500,0.1531,36 months,home_improvement,0.2281,VA,RENT,2530,670-674,7,5276,6,< 1 year
43700,7200,7200,0.1991,60 months,other,0.0200,NY,RENT,5500,660-664,13,2130,0,9 years
83155,8000,8000,0.1433,36 months,other,0.1185,MD,RENT,3941.58,670-674,15,9660,0,2 years
16446,25000,24675,0.2077,60 months,home_improvement,0.1912,TX,MORTGAGE,6000,665-669,17,12757,2,10+ years
84110,2500,2500,0.1409,36 months,medical,0.2095,NY,RENT,2666.67,665-669,9,15787,0,n/a
2807,20000,2050,0.1284,36 months,home_improvement,0.0149,MI,MORTGAGE,3500,750-754,6,1954,5,2 years
94386,6250,6250,0.1311,36 months,debt_consolidation,0.2861,CT,RENT,1779.17,720-724,19,7455,1,3 years
49074,12375,12375,0.1367,36 months,debt_consolidation,0.2242,KS,MORTGAGE,2083.33,680-684,8,12226,0,3 years
